SARGAM NOTATION v3 — ICCR-1854-AC SIDE B
=================================================================
Source: Demucs vocals + CREPE + tanpura Sa detection
Detected Sa = 98.0 Hz | Pa = 146.8 Hz
Confidence: medium
CREPE confidence threshold = 0.75
Total notes: 5492

KEY:
  S=Sa  R=Re(sh) r=Re(ko)  G=Ga(sh) g=Ga(ko)  M=Ma(sh)
  M+=Ma(tivra)  P=Pa  D=Dha(sh) d=Dha(ko)  N=Ni(sh)  n=Ni(ko)
  ' = taar (upper octave)   . = mandra (lower octave)

FORMAT: [MM:SS.ss]  note  duration  full_name
=================================================================

--- Minute 00 ---
  [00:27.52]  n'      0.060s   Ni komal — taar saptak
  [00:27.75]  M'      0.050s   Ma shuddh — taar saptak
  [00:27.80]  G'      0.050s   Ga shuddh — taar saptak
  [00:27.85]  M'      0.050s   Ma shuddh — taar saptak
  [00:27.93]  R'      0.060s   Re shuddh — taar saptak
  [00:27.99]  r'      0.040s   Re komal — taar saptak
  [00:28.08]  D'      0.100s   Dha shuddh — taar saptak
  [00:28.34]  G'      0.040s   Ga shuddh — taar saptak
  [00:28.41]  P'      0.040s   Pa — taar saptak
  [00:28.47]  M'      0.140s   Ma shuddh — taar saptak
  [00:28.67]  R'      0.060s   Re shuddh — taar saptak
  [00:28.75]  S       0.040s   Sa — madhya saptak
  [00:28.79]  S'      0.050s   Sa — taar saptak
  [00:28.84]  S       0.060s   Sa — madhya saptak
  [00:28.95]  R'      0.210s   Re shuddh — taar saptak
  [00:29.16]  r'      0.040s   Re komal — taar saptak
  [00:29.31]  D       0.070s   Dha shuddh — madhya saptak
  [00:29.41]  n       0.090s   Ni komal — madhya saptak
  [00:29.60]  S       0.050s   Sa — madhya saptak
  [00:29.65]  S'      0.080s   Sa — taar saptak
  [00:29.73]  S       0.050s   Sa — madhya saptak
  [00:29.82]  R'      0.150s   Re shuddh — taar saptak
  [00:30.09]  M'      0.640s   Ma shuddh — taar saptak
  [00:30.73]  G'      0.090s   Ga shuddh — taar saptak
  [00:30.82]  M'      0.050s   Ma shuddh — taar saptak
  [00:30.91]  R'      0.040s   Re shuddh — taar saptak
  [00:31.24]  R'      0.080s   Re shuddh — taar saptak
  [00:31.39]  M'      0.050s   Ma shuddh — taar saptak
  [00:31.58]  M'      0.080s   Ma shuddh — taar saptak
  [00:31.71]  M+'     0.050s   Ma tivra — taar saptak
  [00:31.81]  g'      0.040s   Ga komal — taar saptak
  [00:31.93]  R'      0.040s   Re shuddh — taar saptak
  [00:32.13]  P'      0.170s   Pa — taar saptak
  [00:32.48]  D'      0.040s   Dha shuddh — taar saptak
  [00:33.01]  P'      0.050s   Pa — taar saptak
  [00:33.14]  P'      0.050s   Pa — taar saptak
  [00:33.40]  R'      0.050s   Re shuddh — taar saptak
  [00:33.55]  M'      0.070s   Ma shuddh — taar saptak
  [00:33.79]  M'      0.120s   Ma shuddh — taar saptak
  [00:33.91]  G'      0.040s   Ga shuddh — taar saptak
  [00:33.99]  G'      0.200s   Ga shuddh — taar saptak
  [00:34.19]  g'      0.090s   Ga komal — taar saptak
  [00:34.94]  M'      0.090s   Ma shuddh — taar saptak
  [00:35.06]  M'      0.060s   Ma shuddh — taar saptak
  [00:35.18]  R'      0.050s   Re shuddh — taar saptak
  [00:35.40]  S'      0.120s   Sa — taar saptak
  [00:35.52]  S       0.070s   Sa — madhya saptak
  [00:35.66]  S       0.140s   Sa — madhya saptak
  [00:36.41]  S       0.040s   Sa — madhya saptak
  [00:36.62]  R'      0.180s   Re shuddh — taar saptak
  [00:36.81]  R'      0.050s   Re shuddh — taar saptak
  [00:36.86]  g'      0.060s   Ga komal — taar saptak
  [00:36.92]  G'      0.160s   Ga shuddh — taar saptak
  [00:37.08]  M'      0.550s   Ma shuddh — taar saptak
  [00:37.69]  G'      0.080s   Ga shuddh — taar saptak
  [00:37.96]  R'      0.140s   Re shuddh — taar saptak
  [00:38.39]  G'      0.040s   Ga shuddh — taar saptak
  [00:38.43]  M'      0.050s   Ma shuddh — taar saptak
  [00:38.54]  G'      0.100s   Ga shuddh — taar saptak
  [00:38.70]  r'      0.060s   Re komal — taar saptak
  [00:40.09]  D'      0.120s   Dha shuddh — taar saptak
  [00:40.35]  g'      0.050s   Ga komal — taar saptak
  [00:40.40]  G'      0.140s   Ga shuddh — taar saptak
  [00:40.57]  M'      0.080s   Ma shuddh — taar saptak
  [00:40.69]  G'      0.050s   Ga shuddh — taar saptak
  [00:40.74]  M'      0.240s   Ma shuddh — taar saptak
  [00:40.98]  G'      0.260s   Ga shuddh — taar saptak
  [00:41.24]  g'      0.110s   Ga komal — taar saptak
  [00:41.35]  R'      0.140s   Re shuddh — taar saptak
  [00:41.73]  M+'     0.040s   Ma tivra — taar saptak
  [00:41.78]  G'      0.050s   Ga shuddh — taar saptak
  [00:41.83]  M'      0.090s   Ma shuddh — taar saptak
  [00:42.48]  S       0.080s   Sa — madhya saptak
  [00:42.92]  n       0.040s   Ni komal — madhya saptak
  [00:43.04]  n       0.070s   Ni komal — madhya saptak
  [00:43.22]  S       0.090s   Sa — madhya saptak
  [00:43.31]  N       0.070s   Ni shuddh — madhya saptak
  [00:43.44]  M'      0.200s   Ma shuddh — taar saptak
  [00:43.64]  G'      0.120s   Ga shuddh — taar saptak
  [00:43.76]  M'      0.540s   Ma shuddh — taar saptak
  [00:44.30]  G'      0.060s   Ga shuddh — taar saptak
  [00:44.47]  r'      0.040s   Re komal — taar saptak
  [00:44.51]  R'      0.350s   Re shuddh — taar saptak
  [00:44.95]  M'      0.050s   Ma shuddh — taar saptak
  [00:45.15]  M'      0.060s   Ma shuddh — taar saptak
  [00:45.21]  G'      0.040s   Ga shuddh — taar saptak
  [00:45.34]  R'      0.050s   Re shuddh — taar saptak
  [00:45.45]  S       0.200s   Sa — madhya saptak
  [00:45.65]  S'      0.070s   Sa — taar saptak
  [00:45.72]  S       0.040s   Sa — madhya saptak
  [00:45.89]  n       0.160s   Ni komal — madhya saptak
