SARGAM NOTATION — IMPROVED (self_improve.py v2)
=================================================================
Sa = 92.525 Hz
Confidence = 0.7136  Gap = 0.07s  Min duration = 0.011s
Combined score = 0.91383  (0.65×chroma + 0.35×DTW)
Total notes: 11303

KEY:
  S=Sa  R=Re(sh) r=Re(ko)  G=Ga(sh) g=Ga(ko)  M=Ma(sh)
  M+=Ma(tivra)  P=Pa  D=Dha(sh) d=Dha(ko)  N=Ni(sh)  n=Ni(ko)
  ' = taar (upper octave)   . = mandra (lower octave)

FORMAT: [MM:SS.ss]  note  duration  full_name
=================================================================

--- Minute 00 ---
  [00:17.76]  M+'     0.020s   Ma tivra — taar saptak
  [00:17.84]  g'      0.040s   Ga komal — taar saptak
  [00:17.88]  R'      0.020s   Re shuddh — taar saptak
  [00:17.90]  r'      0.530s   Re komal — taar saptak
  [00:18.49]  n       0.070s   Ni komal — madhya saptak
  [00:18.57]  N       0.140s   Ni shuddh — madhya saptak
  [00:18.73]  n       0.050s   Ni komal — madhya saptak
  [00:18.79]  N       0.240s   Ni shuddh — madhya saptak
  [00:19.08]  r'      0.180s   Re komal — taar saptak
  [00:19.30]  g'      0.200s   Ga komal — taar saptak
  [00:19.52]  G'      0.020s   Ga shuddh — taar saptak
  [00:19.54]  M'      0.030s   Ma shuddh — taar saptak
  [00:19.57]  M+'     0.540s   Ma tivra — taar saptak
  [00:20.11]  M'      0.210s   Ma shuddh — taar saptak
  [00:20.32]  G'      0.020s   Ga shuddh — taar saptak
  [00:20.34]  M'      0.030s   Ma shuddh — taar saptak
  [00:20.37]  G'      0.050s   Ga shuddh — taar saptak
  [00:20.54]  g'      0.180s   Ga komal — taar saptak
  [00:20.72]  R'      0.040s   Re shuddh — taar saptak
  [00:20.76]  g'      0.020s   Ga komal — taar saptak
  [00:20.90]  M+'     0.030s   Ma tivra — taar saptak
  [00:20.95]  G'      0.020s   Ga shuddh — taar saptak
  [00:21.02]  d'      0.030s   Dha komal — taar saptak
  [00:21.09]  M+'     0.070s   Ma tivra — taar saptak
  [00:21.16]  M'      0.030s   Ma shuddh — taar saptak
  [00:21.20]  P'      0.040s   Pa — taar saptak
  [00:21.24]  M+'     0.020s   Ma tivra — taar saptak
  [00:21.29]  g'      0.060s   Ga komal — taar saptak
  [00:21.35]  R'      0.030s   Re shuddh — taar saptak
  [00:21.38]  r'      0.470s   Re komal — taar saptak
  [00:21.91]  n       0.020s   Ni komal — madhya saptak
  [00:21.93]  D       0.030s   Dha shuddh — madhya saptak
  [00:22.00]  n       0.060s   Ni komal — madhya saptak
  [00:22.06]  N       0.030s   Ni shuddh — madhya saptak
