SARGAM NOTATION v2 — ICCR-1854-AC SIDE B
=================================================================
Source: pYIN Notes | Sa = 87 Hz | Min duration = 40ms
Total notes: 2527

KEY:
  S=Sa  R=Re(sh)  r=Re(ko)  G=Ga(sh)  g=Ga(ko)  M=Ma(sh)
  M+=Ma(tivra)  P=Pa  D=Dha(sh)  d=Dha(ko)  N=Ni(sh)  n=Ni(ko)
  ' = taar (upper octave)    . = mandra (lower octave)

FORMAT: [MM:SS.ss]  note    duration   full_name
  [00:57.85]  P'      0.112s   Pa — taar saptak
  [00:58.24]  D'      0.144s   Dha shuddh — taar saptak
  [00:58.39]  S'      0.341s   Sa — taar saptak
  [00:59.54]  P'      0.112s   Pa — taar saptak

--- Minute 01 ---
  [01:01.28]  P'      0.309s   Pa — taar saptak
  [01:02.60]  M+'     0.107s   Ma tivra — taar saptak
  [01:02.77]  P'      0.192s   Pa — taar saptak
  [01:03.18]  R'      0.251s   Re shuddh — taar saptak
  [01:03.70]  S       0.197s   Sa — madhya saptak
  [01:04.88]  s.      0.133s   Sa — mandra saptak
  [01:05.27]  s.      0.187s   Sa — mandra saptak
  [01:05.48]  s.      0.192s   Sa — mandra saptak
  [01:08.27]  s.      0.112s   Sa — mandra saptak
  [01:08.67]  s.      0.117s   Sa — mandra saptak
  [01:08.82]  s.      0.160s   Sa — mandra saptak
  [01:09.67]  s.      0.171s   Sa — mandra saptak
  [01:11.99]  s.      0.123s   Sa — mandra saptak
  [01:12.16]  s.      0.336s   Sa — mandra saptak
  [01:12.60]  D'      0.165s   Dha shuddh — taar saptak
  [01:12.82]  P'      0.139s   Pa — taar saptak
  [01:13.22]  G'      0.101s   Ga shuddh — taar saptak
  [01:13.35]  P'      0.245s   Pa — taar saptak
  [01:13.63]  g'      0.160s   Ga komal — taar saptak
  [01:13.85]  G'      0.165s   Ga shuddh — taar saptak
  [01:14.51]  R'      0.107s   Re shuddh — taar saptak
  [01:14.71]  G'      0.117s   Ga shuddh — taar saptak
  [01:14.90]  P'      0.405s   Pa — taar saptak
  [01:15.34]  s.      0.144s   Sa — mandra saptak
  [01:16.19]  s.      0.165s   Sa — mandra saptak
  [01:16.38]  s.      0.171s   Sa — mandra saptak
  [01:16.59]  s.      0.187s   Sa — mandra saptak
  [01:17.43]  P'      0.187s   Pa — taar saptak
  [01:17.67]  G'      0.112s   Ga shuddh — taar saptak
  [01:17.86]  g'      0.107s   Ga komal — taar saptak
  [01:18.07]  P'      0.144s   Pa — taar saptak
  [01:19.79]  P'      0.112s   Pa — taar saptak
  [01:19.90]  D'      0.101s   Dha shuddh — taar saptak
  [01:20.01]  S'      0.107s   Sa — taar saptak
  [01:20.12]  R'      0.240s   Re shuddh — taar saptak
  [01:20.37]  S'      0.197s   Sa — taar saptak
  [01:20.67]  P'      0.181s   Pa — taar saptak
  [01:22.97]  M+'     0.107s   Ma tivra — taar saptak
  [01:23.08]  P'      0.229s   Pa — taar saptak
  [01:23.41]  G'      0.139s   Ga shuddh — taar saptak
  [01:23.58]  R'      0.347s   Re shuddh — taar saptak
  [01:23.98]  S       0.299s   Sa — madhya saptak
  [01:24.39]  S       0.128s   Sa — madhya saptak
  [01:24.73]  R'      0.133s   Re shuddh — taar saptak
  [01:24.87]  G'      0.155s   Ga shuddh — taar saptak
  [01:25.16]  M+'     0.133s   Ma tivra — taar saptak
  [01:25.32]  P'      0.165s   Pa — taar saptak
  [01:27.51]  S       0.117s   Sa — madhya saptak
  [01:27.87]  s.      0.160s   Sa — mandra saptak
  [01:28.94]  s.      0.192s   Sa — mandra saptak
  [01:31.26]  s.      0.171s   Sa — mandra saptak
  [01:32.03]  s.      0.165s   Sa — mandra saptak
  [01:32.34]  s.      0.197s   Sa — mandra saptak
  [01:32.57]  s.      0.133s   Sa — mandra saptak
  [01:33.98]  d       0.101s   Dha komal — madhya saptak
  [01:34.31]  N       0.213s   Ni shuddh — madhya saptak
  [01:34.57]  R'      0.123s   Re shuddh — taar saptak
  [01:34.73]  N       0.123s   Ni shuddh — madhya saptak
  [01:35.40]  P'      0.149s   Pa — taar saptak
  [01:36.33]  R'      0.160s   Re shuddh — taar saptak
  [01:36.92]  R'      0.160s   Re shuddh — taar saptak
  [01:37.10]  G'      0.101s   Ga shuddh — taar saptak
  [01:37.21]  M+'     0.379s   Ma tivra — taar saptak
  [01:37.59]  g'      0.192s   Ga komal — taar saptak
  [01:38.66]  M+'     0.517s   Ma tivra — taar saptak
  [01:39.97]  P'      0.123s   Pa — taar saptak
  [01:40.10]  P'      0.224s   Pa — taar saptak
  [01:40.58]  R'      0.331s   Re shuddh — taar saptak
  [01:42.18]  M+'     0.107s   Ma tivra — taar saptak
  [01:42.29]  M+'     0.219s   Ma tivra — taar saptak
  [01:42.53]  P'      0.171s   Pa — taar saptak
  [01:42.78]  M+      0.107s   Ma tivra — madhya saptak
  [01:45.85]  s.      0.251s   Sa — mandra saptak
  [01:49.33]  s.      0.181s   Sa — mandra saptak
  [01:49.54]  s.      0.181s   Sa — mandra saptak
  [01:49.82]  s.      0.213s   Sa — mandra saptak
  [01:50.17]  s.      0.208s   Sa — mandra saptak
  [01:50.39]  s.      0.187s   Sa — mandra saptak
  [01:50.60]  s.      0.133s   Sa — mandra saptak
  [01:50.84]  M+'     0.181s   Ma tivra — taar saptak
  [01:51.30]  M+'     0.144s   Ma tivra — taar saptak
  [01:51.46]  P'      0.139s   Pa — taar saptak
  [01:51.89]  s.      0.181s   Sa — mandra saptak
  [01:52.10]  s.      0.171s   Sa — mandra saptak
  [01:52.39]  s.      0.112s   Sa — mandra saptak
  [01:53.49]  s.      0.309s   Sa — mandra saptak
  [01:53.83]  s.      0.171s   Sa — mandra saptak
  [01:54.03]  s.      0.165s   Sa — mandra saptak
  [01:54.31]  M'      0.117s   Ma shuddh — taar saptak
  [01:54.66]  P'      0.192s   Pa — taar saptak
  [01:54.87]  P'      0.165s   Pa — taar saptak
  [01:55.56]  D'      0.149s   Dha shuddh — taar saptak
  [01:55.80]  S'      0.139s   Sa — taar saptak
  [01:55.96]  S       0.437s   Sa — madhya saptak
  [01:56.41]  S       0.187s   Sa — madhya saptak
  [01:59.04]  D'      0.165s   Dha shuddh — taar saptak
  [01:59.27]  S'      0.443s   Sa — taar saptak
  [01:59.72]  S'      0.373s   Sa — taar saptak

--- Minute 02 ---
  [02:00.17]  S'      0.149s   Sa — taar saptak
  [02:00.86]  s.      0.144s   Sa — mandra saptak
  [02:01.05]  s.      0.155s   Sa — mandra saptak
  [02:02.86]  S       0.155s   Sa — madhya saptak
  [02:03.11]  M       0.107s   Ma shuddh — madhya saptak
  [02:03.34]  s.      0.181s   Sa — mandra saptak
  [02:04.44]  S       0.245s   Sa — madhya saptak
  [02:04.73]  P'      0.123s   Pa — taar saptak
  [02:05.17]  P'      0.133s   Pa — taar saptak
  [02:05.33]  P'      0.117s   Pa — taar saptak
  [02:05.58]  N'      0.304s   Ni shuddh — taar saptak
  [02:05.89]  n'      0.251s   Ni komal — taar saptak
  [02:06.23]  S'      0.603s   Sa — taar saptak
  [02:06.87]  S'      0.165s   Sa — taar saptak
  [02:07.15]  N'      0.144s   Ni shuddh — taar saptak
  [02:07.77]  S       0.181s   Sa — madhya saptak
  [02:07.97]  S       0.123s   Sa — madhya saptak
  [02:08.17]  S'      0.224s   Sa — taar saptak
  [02:08.42]  R'      0.187s   Re shuddh — taar saptak
  [02:08.66]  G'      0.149s   Ga shuddh — taar saptak
  [02:08.90]  S'      0.352s   Sa — taar saptak
  [02:09.33]  D'      0.160s   Dha shuddh — taar saptak
  [02:09.57]  P'      0.128s   Pa — taar saptak
  [02:10.06]  D'      0.245s   Dha shuddh — taar saptak
  [02:10.39]  S'      0.363s   Sa — taar saptak
  [02:13.26]  M+      0.336s   Ma tivra — madhya saptak
  [02:13.63]  s.      0.192s   Sa — mandra saptak
  [02:14.58]  P'      0.107s   Pa — taar saptak
  [02:14.76]  P'      0.171s   Pa — taar saptak
  [02:15.03]  G'      0.139s   Ga shuddh — taar saptak
  [02:15.17]  R'      0.384s   Re shuddh — taar saptak
  [02:16.30]  R'      0.155s   Re shuddh — taar saptak
