SARGAM NOTATION — MELODIC-FIDELITY CANDIDATE (self_improve_melody.py)
==============================================================================
Sa = 96.9500 Hz
Confidence = 0.5917  Gap = 0.0576s  Min duration = 0.0061s
Post-process: median_window=1  min_keep=0.0096s  bridge=0.0122s/0.1140s
Melody score = 0.94166  pitch=0.8835 coverage=1.0000 swara=0.9925 rest=1.0000
Mean abs cents = 25.6  Total notes: 13103

KEY:
  S=Sa  R=Re(sh) r=Re(ko)  G=Ga(sh) g=Ga(ko)  M=Ma(sh)
  M+=Ma(tivra)  P=Pa  D=Dha(sh) d=Dha(ko)  N=Ni(sh)  n=Ni(ko)
  ' = one taar octave; '' = two taar octaves; . = one mandra octave; .. = two mandra octaves

FORMAT: [MM:SS.ss]  note  duration  full_name
==============================================================================

--- Minute 00 ---
  [00:17.38]  g'      0.020s   Ga komal — taar saptak
  [00:17.40]  G'      0.060s   Ga shuddh — taar saptak
  [00:17.47]  g'      0.020s   Ga komal — taar saptak
  [00:17.54]  d'      0.030s   Dha komal — taar saptak
  [00:17.61]  G'      0.020s   Ga shuddh — taar saptak
  [00:17.63]  M'      0.060s   Ma shuddh — taar saptak
  [00:17.69]  G'      0.030s   Ga shuddh — taar saptak
  [00:17.72]  M'      0.020s   Ma shuddh — taar saptak
  [00:17.74]  M+'     0.030s   Ma tivra — taar saptak
  [00:17.77]  M'      0.010s   Ma shuddh — taar saptak
  [00:17.84]  R'      0.040s   Re shuddh — taar saptak
  [00:17.88]  r'      0.030s   Re komal — taar saptak
  [00:17.91]  S'      0.310s   Sa — taar saptak
  [00:18.28]  S'      0.150s   Sa — taar saptak
  [00:18.49]  D       0.070s   Dha shuddh — madhya saptak
  [00:18.57]  n       0.140s   Ni komal — madhya saptak
  [00:18.73]  D       0.020s   Dha shuddh — madhya saptak
  [00:18.75]  n       0.280s   Ni komal — madhya saptak
  [00:19.08]  S'      0.180s   Sa — taar saptak
  [00:19.30]  R'      0.190s   Re shuddh — taar saptak
  [00:19.49]  g'      0.040s   Ga komal — taar saptak
  [00:19.53]  G'      0.030s   Ga shuddh — taar saptak
  [00:19.56]  M'      0.560s   Ma shuddh — taar saptak
  [00:20.12]  G'      0.060s   Ga shuddh — taar saptak
  [00:20.18]  M'      0.040s   Ma shuddh — taar saptak
  [00:20.22]  G'      0.190s   Ga shuddh — taar saptak
  [00:20.41]  g'      0.010s   Ga komal — taar saptak
  [00:20.54]  R'      0.090s   Re shuddh — taar saptak
  [00:20.69]  R'      0.040s   Re shuddh — taar saptak
