time,frequency,confidence
9.890,252.512,0.886350
9.900,254.522,0.943031
9.910,255.401,0.951711
9.920,255.526,0.954284
9.930,254.519,0.959043
9.940,252.762,0.928584
9.950,250.956,0.928492
9.960,249.071,0.841946
9.970,247.668,0.795672
9.980,245.430,0.890045
9.990,245.518,0.929986
10.000,245.254,0.943784
10.010,244.369,0.933682
10.020,244.014,0.928786
10.030,243.614,0.939521
10.040,243.254,0.950996
10.050,243.192,0.946405
10.060,243.083,0.928405
10.070,241.772,0.911282
10.080,241.099,0.868338
10.090,241.383,0.850061
10.100,244.315,0.842442
10.110,247.571,0.880690
10.120,248.136,0.893385
10.130,247.644,0.800117
10.150,245.772,0.803405
10.160,245.439,0.859475
10.170,247.061,0.897759
10.180,248.399,0.899394
10.190,249.350,0.766951
10.240,218.698,0.858805
10.250,218.742,0.882557
10.260,218.748,0.866902
10.270,218.492,0.855007
10.280,218.277,0.818759
10.290,219.241,0.767846
10.310,219.144,0.811641
10.320,219.078,0.789937
10.480,240.137,0.791160
10.490,245.920,0.791288
10.500,257.547,0.761057
10.510,262.276,0.909052
10.520,259.116,0.885845
10.530,252.985,0.865210
10.540,244.653,0.836859
10.550,238.975,0.881509
10.560,236.692,0.883841
10.570,237.211,0.842122
10.580,241.545,0.829047
10.660,284.245,0.797598
10.680,249.934,0.800289
10.690,249.237,0.894857
10.700,249.354,0.932775
10.710,250.193,0.918877
10.720,253.350,0.855684
10.730,258.888,0.769805
10.740,261.718,0.862715
10.750,260.104,0.912756
10.760,258.179,0.828997
10.770,253.410,0.787651
10.790,241.575,0.815272
10.800,240.267,0.920881
10.810,241.735,0.949583
10.820,244.039,0.870338
10.900,250.797,0.756549
10.910,249.707,0.822089
10.920,248.191,0.862937
10.930,248.013,0.854578
10.940,247.517,0.827760
10.950,247.253,0.801009
11.130,253.562,0.760211
11.270,194.657,0.750187
11.300,188.590,0.765347
12.260,277.921,0.853285
12.320,283.763,0.853878
12.330,285.696,0.912499
12.340,286.622,0.871289
12.350,285.679,0.871049
12.360,284.351,0.905484
12.480,257.664,0.874762
12.490,258.797,0.904000
12.500,258.622,0.874893
12.550,245.599,0.937471
12.560,245.072,0.947595
12.570,245.007,0.923810
12.580,245.121,0.882087
13.330,252.881,0.873760
13.500,247.521,0.875090
13.510,247.821,0.920708
13.520,247.701,0.936070
13.530,246.940,0.914037
13.540,245.861,0.872222
13.550,244.465,0.812627
13.560,244.414,0.812261
13.570,245.625,0.854203
13.580,245.777,0.890678
13.590,246.183,0.823767
13.640,277.581,0.868946
13.650,278.138,0.911523
13.660,277.559,0.946971
13.670,277.555,0.945588
13.680,276.936,0.902410
13.690,274.865,0.814914
13.730,277.374,0.778442
13.740,276.601,0.940836
13.750,276.440,0.956526
13.760,276.023,0.943786
13.770,274.707,0.941746
13.780,272.478,0.834816
13.820,268.621,0.812879
13.900,279.149,0.810165
13.910,274.026,0.757627
13.960,247.806,0.855071
13.970,248.388,0.892945
13.980,247.777,0.869969
14.020,220.590,0.770485
14.030,218.262,0.807967
14.110,257.199,0.860506
14.120,260.957,0.919804
14.130,261.563,0.952131
14.140,258.639,0.882446
14.170,227.489,0.847824
14.180,228.917,0.893405
14.210,256.314,0.880115
14.220,261.478,0.942541
14.230,262.186,0.973987
14.240,260.221,0.890993
14.270,230.112,0.790362
14.330,307.334,0.850820
14.340,313.413,0.919837
14.350,315.093,0.907926
14.370,296.058,0.780118
14.380,290.948,0.947487
14.390,292.223,0.902734
14.400,297.700,0.822433
14.420,327.050,0.788238
14.440,348.239,0.906775
14.450,348.538,0.935697
14.460,344.097,0.799222
14.480,312.821,0.942696
14.490,310.546,0.950074
14.500,313.193,0.853168
14.530,356.007,0.769665
14.540,364.259,0.811041
14.550,365.328,0.835815
14.560,359.145,0.815779
14.600,303.926,0.906457
14.610,299.918,0.941434
14.620,298.564,0.972191
14.630,298.864,0.962708
14.640,300.118,0.928585
14.650,303.928,0.911229
14.660,304.448,0.951342
14.670,301.413,0.932580
14.700,264.271,0.854872
14.710,261.432,0.952372
14.720,261.945,0.965324
14.730,264.874,0.936835
14.740,269.438,0.961231
14.750,271.717,0.976525
14.760,271.118,0.966384
14.770,265.002,0.813942
14.780,254.504,0.758617
14.810,228.605,0.886212
14.820,232.736,0.800573
14.850,262.503,0.895263
14.860,266.523,0.961445
14.870,266.925,0.930782
14.880,262.817,0.775887
14.910,221.221,0.867013
