time,frequency,confidence
2.450,171.596,0.057709
2.460,172.171,0.296512
2.470,170.267,0.130363
2.480,164.615,0.145283
2.490,178.052,0.126159
2.500,204.746,0.280183
2.510,225.863,0.127240
2.520,250.106,0.288341
2.530,248.251,0.421831
2.540,244.849,0.549030
2.550,238.702,0.079242
2.560,226.472,0.037785
2.570,218.955,0.166091
2.580,224.279,0.032797
2.590,247.167,0.275679
2.600,259.582,0.560515
2.610,262.912,0.485892
2.620,264.178,0.668832
2.630,260.612,0.735296
2.640,256.224,0.733947
2.650,258.569,0.709692
2.660,258.014,0.677842
2.670,258.148,0.671455
2.680,256.472,0.517921
2.690,255.430,0.169529
2.700,257.568,0.226652
2.710,260.905,0.145940
2.720,262.278,0.357976
2.730,263.588,0.200818
2.740,263.979,0.095701
2.750,266.704,0.090100
2.760,266.961,0.094466
2.770,268.524,0.030716
2.780,266.321,0.068069
2.790,266.057,0.120816
2.800,259.819,0.159609
2.810,252.831,0.194799
2.820,254.769,0.444599
2.830,255.602,0.492613
2.840,254.300,0.513538
2.850,252.645,0.484955
2.860,251.661,0.493140
2.870,251.980,0.249270
2.880,251.792,0.229646
2.890,252.134,0.418813
2.900,257.430,0.408935
2.910,256.211,0.629628
2.920,256.044,0.728071
2.930,257.727,0.708925
2.940,268.016,0.559785
2.950,275.342,0.598408
2.960,279.831,0.493710
2.970,282.751,0.444987
2.980,275.548,0.268145
2.990,313.353,0.241434
3.000,353.593,0.431481
3.010,351.697,0.590224
3.020,351.934,0.682161
3.030,350.655,0.767786
3.040,350.367,0.764970
3.050,355.365,0.471501
3.060,355.220,0.356937
3.070,337.341,0.296413
3.080,352.961,0.634089
3.090,352.249,0.799980
3.100,351.466,0.793082
3.110,354.293,0.799029
3.120,353.002,0.623261
3.130,340.533,0.397052
3.140,329.913,0.593848
3.150,331.499,0.511192
3.160,336.666,0.342965
3.170,340.294,0.316801
3.180,378.212,0.354884
3.190,375.646,0.303595
3.200,343.173,0.479964
3.210,348.377,0.610627
3.220,344.504,0.687214
3.230,343.249,0.697475
3.240,347.347,0.801886
3.250,347.984,0.691755
3.260,348.956,0.603256
3.270,353.463,0.596930
3.280,359.142,0.502750
