sa_hz,conf,gap,min_dur,notes,score
92.26,0.582,0.059,0.018,11202,0.910406
103.76,0.623,0.019,0.014,11851,0.910353
92.23,0.665,0.075,0.016,11114,0.910327
92.25,0.561,0.088,0.012,11085,0.910313
92.65,0.764,0.055,0.015,11246,0.910296
92.23,0.746,0.076,0.01,11110,0.91028
92.79,0.588,0.057,0.019,11631,0.910233
92.8,0.642,0.061,0.017,11595,0.91012
92.79,0.661,0.075,0.013,11549,0.910112
92.8,0.666,0.066,0.012,11604,0.910057
92.25,0.689,0.043,0.01,11270,0.909957
92.8,0.734,0.082,0.019,11533,0.909953
92.49,0.759,0.011,0.013,11650,0.909952
92.23,0.647,0.06,0.017,11188,0.90982
92.76,0.759,0.065,0.013,11432,0.909782
92.21,0.638,0.057,0.019,11168,0.90948
92.29,0.596,0.028,0.013,11530,0.909464
92.84,0.649,0.061,0.016,11633,0.909447
92.84,0.621,0.053,0.015,11676,0.909262
92.19,0.649,0.054,0.019,11162,0.909116
92.49,0.775,0.031,0.011,11145,0.90891
92.22,0.6,0.036,0.017,11359,0.908859
92.21,0.563,0.031,0.016,11349,0.908672
97.67,0.579,0.06,0.014,12119,0.908576
92.84,0.534,0.033,0.012,11850,0.908513
92.84,0.645,0.038,0.015,11850,0.908513
92.58,0.78,0.064,0.013,10907,0.908451
92.17,0.569,0.049,0.019,11220,0.90844
92.89,0.74,0.088,0.018,11617,0.908308
92.11,0.666,0.06,0.018,11083,0.908116
92.14,0.694,0.046,0.018,11208,0.90808
92.84,0.621,0.027,0.017,11975,0.907974
92.91,0.689,0.06,0.018,11729,0.907951
92.75,0.768,0.055,0.015,11308,0.907938
98.33,0.591,0.027,0.015,12657,0.90792
92.92,0.667,0.063,0.013,11695,0.907845
92.09,0.641,0.064,0.015,11084,0.907841
92.07,0.711,0.08,0.015,11044,0.90774
92.57,0.786,0.07,0.019,10803,0.907594
92.13,0.714,0.031,0.018,11321,0.907481
97.67,0.734,0.033,0.015,12318,0.907408
92.09,0.734,0.057,0.013,11121,0.907393
98.43,0.709,0.079,0.015,12321,0.907368
92.08,0.707,0.054,0.016,11120,0.907269
92.08,0.707,0.052,0.016,11120,0.907269
92.07,0.636,0.054,0.019,11119,0.907247
92.5,0.791,0.067,0.015,10655,0.907247
92.14,0.541,0.022,0.014,11449,0.907001
103.81,0.788,0.051,0.017,10822,0.906725
92.94,0.616,0.049,0.011,11832,0.906642
92.34,0.781,0.06,0.018,10751,0.906628
92.09,0.532,0.036,0.015,11304,0.906606
92.08,0.575,0.036,0.012,11303,0.90653
92.07,0.671,0.036,0.015,11302,0.906463
92.07,0.654,0.036,0.017,11302,0.906463
92.44,0.792,0.06,0.018,10597,0.906434
92.04,0.646,0.054,0.019,11106,0.906396
92.09,0.547,0.021,0.013,11434,0.906089
92.08,0.547,0.028,0.017,11430,0.905959
92.98,0.689,0.06,0.015,11749,0.905756
92.98,0.671,0.079,0.013,11716,0.905751
92.03,0.695,0.028,0.017,11423,0.905049
92.03,0.507,0.028,0.019,11423,0.905049
92.06,0.768,0.064,0.013,10793,0.904727
93.03,0.679,0.06,0.017,11861,0.904184
92.05,0.768,0.053,0.019,10821,0.903901
92.28,0.789,0.063,0.017,10534,0.903885
103.25,0.619,0.021,0.018,11508,0.903876
103.25,0.759,0.053,0.018,11057,0.903723
98.52,0.759,0.064,0.02,12271,0.903119
97.38,0.716,0.046,0.02,12089,0.903029
92.21,0.792,0.066,0.018,10435,0.902377
91.76,0.665,0.061,0.019,11021,0.901521
93.11,0.689,0.061,0.016,11905,0.901228
93.16,0.657,0.069,0.016,11963,0.899787
93.16,0.716,0.061,0.014,11963,0.899778
98.67,0.669,0.063,0.014,12529,0.899677
93.16,0.755,0.064,0.016,11907,0.899202
93.17,0.711,0.064,0.019,11988,0.899108
93.17,0.548,0.036,0.019,12201,0.898589
102.89,0.666,0.056,0.015,11209,0.898275
91.93,0.788,0.093,0.012,10289,0.898166
93.18,0.728,0.036,0.017,12219,0.898108
92.53,0.689,0.057,0.024,8628,0.897945
93.18,0.505,0.036,0.015,12225,0.89794
92.52,0.636,0.057,0.022,8628,0.897872
92.49,0.676,0.059,0.022,8613,0.897838
92.5,0.75,0.061,0.02,8584,0.897816
92.47,0.694,0.06,0.022,8589,0.897748
102.89,0.691,0.033,0.015,11387,0.897738
92.45,0.621,0.081,0.023,8556,0.897726
92.55,0.724,0.07,0.02,8628,0.897669
92.56,0.705,0.062,0.02,8631,0.897652
92.47,0.708,0.058,0.022,8610,0.897605
92.47,0.643,0.058,0.022,8610,0.897605
92.56,0.748,0.06,0.022,8638,0.897584
92.57,0.747,0.064,0.02,8635,0.897503
92.45,0.609,0.067,0.023,8586,0.897502
91.88,0.787,0.072,0.016,10357,0.897412
92.6,0.71,0.07,0.022,8633,0.897398
92.42,0.718,0.066,0.022,8572,0.897267
93.2,0.685,0.059,0.018,12096,0.897112
92.6,0.689,0.067,0.022,8652,0.897102
92.61,0.667,0.059,0.022,8678,0.897039
92.6,0.688,0.06,0.022,8675,0.897031
92.44,0.664,0.042,0.029,8643,0.896886
93.2,0.685,0.084,0.018,11989,0.896845
92.45,0.642,0.043,0.025,8645,0.896825
92.45,0.694,0.043,0.025,8645,0.896825
92.58,0.727,0.043,0.022,8696,0.896711
92.49,0.669,0.031,0.027,8713,0.896457
102.89,0.678,0.015,0.01,11665,0.896348
97.09,0.566,0.024,0.013,12271,0.89619
92.45,0.505,0.032,0.026,8712,0.896097
92.69,0.696,0.076,0.029,8710,0.895976
93.22,0.669,0.034,0.014,12293,0.895946
93.22,0.546,0.032,0.016,12293,0.895946
92.71,0.618,0.062,0.027,8739,0.895447
92.71,0.665,0.064,0.02,8744,0.895298
92.29,0.642,0.084,0.021,8453,0.895192
92.3,0.706,0.062,0.021,8491,0.895109
92.29,0.681,0.072,0.023,8456,0.895068
103.97,0.723,0.067,0.028,8581,0.895066
92.45,0.53,0.024,0.025,8773,0.89504
92.53,0.769,0.084,0.023,8346,0.894852
103.68,0.53,0.062,0.027,8442,0.894462
103.97,0.568,0.044,0.028,8641,0.894443
92.22,0.6,0.073,0.021,8417,0.894397
92.78,0.671,0.077,0.022,8751,0.894361
92.76,0.658,0.07,0.025,8755,0.894321
92.82,0.676,0.081,0.023,8776,0.893767
92.63,0.768,0.065,0.026,8443,0.893732
96.95,0.636,0.049,0.012,11990,0.893296
92.14,0.642,0.061,0.027,8405,0.89301
93.2,0.78,0.075,0.015,11515,0.892568
92.84,0.731,0.033,0.027,8959,0.891887
92.09,0.734,0.057,0.021,8427,0.891702
92.92,0.525,0.058,0.021,8927,0.891601
93.29,0.759,0.037,0.018,12301,0.891185
93.32,0.644,0.038,0.015,12435,0.891158
92.59,0.783,0.065,0.021,8291,0.891105
92.07,0.671,0.043,0.026,8460,0.891064
92.86,0.528,0.029,0.027,9033,0.890399
92.06,0.504,0.032,0.02,8536,0.890278
92.42,0.79,0.076,0.022,8066,0.889752
92.07,0.701,0.026,0.022,8608,0.889723
92.98,0.65,0.098,0.029,8914,0.889708
92.98,0.69,0.063,0.023,8953,0.889553
92.02,0.644,0.033,0.027,8526,0.889455
93.01,0.691,0.07,0.025,8985,0.888931
91.92,0.649,0.052,0.021,8412,0.888728
103.25,0.759,0.065,0.027,8224,0.886866
92.26,0.789,0.047,0.021,8070,0.886435
102.45,0.716,0.048,0.019,11278,0.886259
98.57,0.517,0.069,0.028,9380,0.886241
93.09,0.753,0.061,0.021,9041,0.885484
102.39,0.744,0.085,0.011,11070,0.885471
97.37,0.587,0.036,0.029,9164,0.884832
93.44,0.524,0.04,0.014,12594,0.884137
93.18,0.713,0.04,0.025,9308,0.882311
93.22,0.645,0.052,0.028,9254,0.881724
93.13,0.773,0.071,0.025,8825,0.881532
93.22,0.546,0.042,0.028,9299,0.881429
102.25,0.652,0.061,0.017,11113,0.881256
93.45,0.766,0.018,0.016,12609,0.879894
93.51,0.725,0.077,0.019,12457,0.879892
97.09,0.666,0.034,0.025,9086,0.878686
97.09,0.654,0.036,0.03,9086,0.878686
93.48,0.775,0.073,0.018,12031,0.878288
96.44,0.621,0.041,0.015,11786,0.877798
102.13,0.569,0.047,0.013,11258,0.876905
97.09,0.721,0.02,0.025,9169,0.876667
90.93,0.643,0.099,0.012,10943,0.875671
97.09,0.778,0.057,0.025,8709,0.875439
