SARGAM NOTATION — ICCR-1854-AC SIDE B
Excerpt: 9:00 – 9:40 (540s – 580s)
Times shown are offset from clip start (0:00 = 9:00 in original)
Sa = 98.0 Hz
KEY: S=Sa R=Re(sh) r=Re(ko) G=Ga(sh) g=Ga(ko) M=Ma(sh)
     M+=Ma(tivra) P=Pa D=Dha(sh) d=Dha(ko) N=Ni(sh) n=Ni(ko)
     ' = taar (upper octave)   . = mandra (lower octave)
FORMAT: [MM:SS.ss]  note  duration  full_name
  [00:30.63]  g'      0.060s    Ga komal — taar saptak
  [00:30.69]  R'      0.180s    Re shuddh — taar saptak
  [00:31.00]  R'      0.090s    Re shuddh — taar saptak
  [00:31.19]  S       0.180s    Sa — madhya saptak
  [00:33.24]  P'      0.200s    Pa — taar saptak
  [00:33.54]  M'      0.290s    Ma shuddh — taar saptak
  [00:33.97]  R'      0.050s    Re shuddh — taar saptak
  [00:34.11]  S       0.120s    Sa — madhya saptak
  [00:34.37]  R'      0.060s    Re shuddh — taar saptak
  [00:34.52]  R'      0.050s    Re shuddh — taar saptak
  [00:35.29]  M'      0.040s    Ma shuddh — taar saptak
  [00:35.46]  g'      0.580s    Ga komal — taar saptak
  [00:36.15]  g'      0.050s    Ga komal — taar saptak
  [00:36.20]  R'      0.340s    Re shuddh — taar saptak
  [00:36.67]  S       0.050s    Sa — madhya saptak
  [00:36.80]  S       0.190s    Sa — madhya saptak
  [00:38.97]  d'      0.080s    Dha komal — taar saptak
  [00:39.05]  P'      0.090s    Pa — taar saptak
  [00:39.19]  P'      0.080s    Pa — taar saptak
  [00:39.38]  M'      0.260s    Ma shuddh — taar saptak
  [00:39.85]  R'      0.060s    Re shuddh — taar saptak

Total notes in excerpt: 121
