Inter-sam interval timeline — Teentaal
global_cycle=6.6873s  matra=0.4180s  matra_bpm=143.6

  Sam 105  t=1043.6s  gap=6.687s  bpm=143.6
  Sam 106  t=1050.3s  gap=6.656s  bpm=144.2
  Sam 107  t=1057.0s  gap=6.687s  bpm=143.6
  Sam 108  t=1063.7s  gap=6.687s  bpm=143.6
  Sam 109  t=1070.3s  gap=6.687s  bpm=143.6
  Sam 110  t=1077.0s  gap=6.687s  bpm=143.6
  Sam 111  t=1083.7s  gap=6.744s  bpm=142.3
  Sam 112  t=1090.5s  gap=6.687s  bpm=143.6
  Sam 113  t=1097.1s  gap=6.664s  bpm=144.1
  Sam 114  t=1103.8s  gap=6.664s  bpm=144.1
  Sam 115  t=1110.5s  gap=6.734s  bpm=142.6
  Sam 116  t=1117.2s  gap=6.664s  bpm=144.1
  Sam 117  t=1123.9s  gap=6.687s  bpm=143.6
  Sam 118  t=1130.6s  gap=6.664s  bpm=144.1
  Sam 119  t=1137.2s  gap=6.711s  bpm=143.0
  Sam 120  t=1143.9s  gap=6.734s  bpm=142.6
  Sam 121  t=1150.7s  gap=6.525s  bpm=147.1
  Sam 122  t=1157.2s  gap=6.803s  bpm=141.1
  Sam 123  t=1164.0s  gap=6.650s  bpm=144.4
  Sam 124  t=1170.6s  gap=6.687s  bpm=143.6
  Sam 125  t=1177.3s  gap=6.725s  bpm=142.8
  Sam 126  t=1184.1s  gap=6.649s  bpm=144.4
  Sam 127  t=1190.7s  gap=13.344s  bpm=71.9
  Sam 128  t=1204.0s  gap=6.780s  bpm=141.6
  Sam 129  t=1210.8s  gap=6.624s  bpm=144.9
  Sam 130  t=1217.5s  gap=6.750s  bpm=142.2
  Sam 131  t=1224.2s  gap=6.618s  bpm=145.1
  Sam 132  t=1230.8s  gap=6.734s  bpm=142.6
  Sam 133  t=1237.6s  gap=6.641s  bpm=144.6
  Sam 134  t=1244.2s  gap=6.710s  bpm=143.1
  Sam 135  t=1250.9s  gap=6.641s  bpm=144.6
  Sam 136  t=1257.5s  gap=6.757s  bpm=142.1
  Sam 137  t=1264.3s  gap=6.618s  bpm=145.1
  Sam 138  t=1270.9s  gap=6.714s  bpm=143.0
  Sam 139  t=1277.6s  gap=6.687s  bpm=143.6
  Sam 140  t=1284.3s  gap=6.687s  bpm=143.6
  Sam 141  t=1291.0s  gap=6.687s  bpm=143.6
  Sam 142  t=1297.7s  gap=6.731s  bpm=142.6
  Sam 143  t=1304.4s  gap=6.688s  bpm=143.5
  Sam 144  t=1311.1s  gap=6.642s  bpm=144.5
  Sam 145  t=1317.8s  gap=6.687s  bpm=143.6
  Sam 146  t=1324.4s  gap=6.779s  bpm=141.6
  Sam 147  t=1331.2s  gap=6.664s  bpm=144.1
  Sam 148  t=1337.9s  gap=6.572s  bpm=146.1
  Sam 149  t=1344.5s  gap=6.641s  bpm=144.6
  Sam 150  t=1351.1s  gap=6.826s  bpm=140.6
  Sam 151  t=1357.9s  gap=6.640s  bpm=144.6
  Sam 152  t=1364.6s  gap=6.642s  bpm=144.5
  Sam 153  t=1371.2s  gap=6.732s  bpm=142.6
  Sam 154  t=1377.9s  gap=6.759s  bpm=142.0
  Sam 155  t=1384.7s  gap=6.594s  bpm=145.6
  Sam 156  t=1391.3s  gap=6.641s  bpm=144.6
  Sam 157  t=1397.9s  gap=6.754s  bpm=142.1
  Sam 158  t=1404.7s  gap=6.687s  bpm=143.6
  Sam 159  t=1411.4s  gap=6.687s  bpm=143.6
  Sam 160  t=1418.1s  gap=6.687s  bpm=143.6
  Sam 161  t=1424.7s  gap=6.715s  bpm=143.0
  Sam 162  t=1431.5s  gap=6.687s  bpm=143.6
  Sam 163  t=1438.2s  gap=6.571s  bpm=146.1
  Sam 164  t=1444.7s  gap=6.688s  bpm=143.5

BPM range: 8.0 – 147.1
BPM median: 143.6
